,Symbol,Date,Pressure,Call_Open_Int,Put_Open_Int,Call_ROI,Put_ROI
0,ZNGA,2016-10-11,0.5,6031.0,342.0,-0.39285714285714285,0.18518518518518512
1,ZNGA,2016-10-25,0.5,6112.0,227.0,-0.38095238095238093,0.111111111111111
2,ZNGA,2016-10-26,0.5,6114.0,227.0,-0.5789473684210527,0.2962962962962961
3,ZION,2016-10-25,0.6,601.0,431.0,-0.3688524590163934,-0.15189873417721517
4,ZION,2016-10-26,0.5,640.0,428.0,-0.6235294117647059,0.558139534883721
5,ZBRA,2016-10-25,0.5,340.0,328.0,-0.05128205128205122,-0.2571428571428571
6,ZAGG,2016-10-25,0.6,198.0,547.0,-0.6923076923076923,0.10000000000000009
7,ZAGG,2016-10-26,0.5,226.0,547.0,-0.4444444444444445,0.3333333333333333
8,YRCW,2016-10-12,0.6,16.0,75.0,-0.14666666666666664,-0.15887850467289721
9,YHOO,2016-10-06,0.4,1164.0,213.0,-0.461904761904762,0.2758620689655173
10,YHOO,2016-10-07,0.6,486.0,141.0,-0.7862595419847328,0.5621621621621622
11,YHOO,2016-10-10,0.4,1214.0,283.0,-0.4021739130434782,0.24999999999999994
12,YHOO,2016-10-11,0.5,1214.0,283.0,-0.412621359223301,0.5291262135922329
13,YHOO,2016-10-12,0.5,487.0,164.0,-0.02512562814070354,-0.10176991150442478
14,YHOO,2016-10-25,0.6,116.0,542.0,-0.4663677130044843,0.28301886792452824
15,YHOO,2016-10-26,0.6,117.0,637.0,-0.5118483412322274,0.3806451612903226
16,YCS,2016-10-20,0.5,56.0,13.0,0.5882352941176472,-0.6774193548387097
17,YCS,2016-10-21,0.6,56.0,13.0,0.02499999999999991,-0.6799999999999999
18,XRX,2016-10-25,0.4,2871.0,913.0,-0.7142857142857143,0.06521739130434775
19,XRX,2016-10-26,0.4,2962.0,954.0,-0.5833333333333333,0.01960784313725492
20,XRT,2016-10-06,0.5,584.0,241.0,-0.253623188405797,0.1509433962264151
21,XRT,2016-10-10,0.5,578.0,241.0,-0.4485294117647059,0.34394904458598713
22,XRT,2016-10-25,0.5,221.0,302.0,-0.6323529411764706,0.842105263157895
23,XRT,2016-10-26,0.5,237.0,311.0,-0.4953271028037383,0.5503875968992248
24,XRS,2016-10-25,0.6,672.0,201.0,0.9636363636363637,-0.8333333333333333
25,XPO,2016-10-14,0.5,240.0,2045.0,-0.3333333333333333,-0.12280701754385967
26,XPO,2016-10-18,0.4,312.0,2086.0,-0.17948717948717943,-0.24193548387096772
27,XPO,2016-10-20,0.6,95.0,195.0,-0.2962962962962964,-0.22727272727272735
28,XPO,2016-10-21,0.5,95.0,199.0,-0.5098039215686274,0.14285714285714277
29,XOP,2016-10-06,0.5,19619.0,181.0,-0.2572614107883818,0.11382113821138222
30,XOP,2016-10-07,0.5,19597.0,182.0,-0.3493449781659389,0.14741035856573712
31,XOP,2016-10-10,0.4,19798.0,182.0,-0.3417085427135678,0.11313868613138671
32,XOP,2016-10-11,0.5,19798.0,182.0,-0.4478260869565217,0.3214285714285713
33,XOP,2016-10-12,0.6,2761.0,1524.0,-0.220532319391635,-0.09523809523809532
34,XOP,2016-10-20,0.4,16.0,39.0,-0.48666666666666664,0.2885906040268456
35,XONE,2016-10-11,0.5,460.0,61.0,-0.8333333333333334,0.7777777777777776
36,XOM,2016-10-20,0.5,13.0,9.0,-0.2365591397849463,-0.09459459459459477
37,XOM,2016-10-25,0.4,7.0,17.0,-0.7358490566037736,0.8558951965065502
38,XME,2016-10-07,0.4,997.0,1265.0,-0.4335664335664335,0.19402985074626874
39,XME,2016-10-10,0.4,997.0,1265.0,-0.32857142857142857,0.01913875598086126
40,XME,2016-10-11,0.6,1947.0,1175.0,-0.23076923076923075,0.022388059701492557
41,XME,2016-10-25,0.4,1298.0,1339.0,-0.1538461538461538,0.04487179487179477
42,XME,2016-10-26,0.4,1308.0,1340.0,-0.32203389830508466,0.21153846153846143
43,XLY,2016-10-06,0.5,336.0,2708.0,-0.29816513761467894,0.14479638009049767
44,XLY,2016-10-07,0.5,357.0,2708.0,-0.36486486486486497,0.21327014218009488
45,XLY,2016-10-11,0.5,566.0,2732.0,-0.3544973544973545,0.1953488372093023
46,XLY,2016-10-12,0.5,552.0,313.0,-0.11004784688995205,-0.13953488372093015
47,XLY,2016-10-25,0.5,1649.0,2923.0,-0.6549707602339182,0.9553072625698323
48,XLV,2016-10-07,0.5,827.0,9548.0,-0.5714285714285714,0.5270935960591135
49,XLV,2016-10-11,0.5,918.0,9551.0,-0.5210526315789473,0.5499999999999999
50,XLV,2016-10-12,0.7,1429.0,8231.0,-0.15525114155251135,0.05084745762711869
51,XLV,2016-10-21,0.6,15.0,122.0,-0.7177914110429447,1.0
52,XLV,2016-10-25,0.6,1252.0,1808.0,-0.5463414634146341,1.077922077922078
53,XLV,2016-10-26,0.6,1282.0,1846.0,-0.5257731958762887,0.8987341772151898
54,XLU,2016-10-06,0.5,1111.0,5432.0,0.2426035502958581,-0.34302325581395354
55,XLU,2016-10-07,0.3,2985.0,12126.0,0.08695652173913052,-0.23893805309734506
56,XLU,2016-10-12,0.5,2858.0,5908.0,0.48275862068965514,-0.4619883040935672
57,XLU,2016-10-25,0.5,3877.0,13079.0,0.2076923076923077,-0.10526315789473693
58,XLU,2016-10-26,0.7,4194.0,13273.0,-0.11111111111111106,0.22881355932203393
59,XLP,2016-10-06,0.5,552.0,3920.0,-0.06122448979591842,-0.15789473684210523
60,XLP,2016-10-10,0.3,38426.0,4228.0,-0.29069767441860467,-0.04972375690607739
61,XLP,2016-10-11,0.6,682.0,5493.0,-0.13768115942028983,-0.09999999999999991
62,XLP,2016-10-12,0.5,682.0,5552.0,-0.19047619047619047,-0.1167883211678833
63,XLP,2016-10-26,0.4,38472.0,4082.0,-0.027027027027027053,0.06349206349206354
64,XLNX,2016-10-12,0.6,3880.0,10.0,-0.3472222222222222,0.07999999999999995
65,XLNX,2016-10-25,0.4,2019.0,463.0,-0.026041666666666574,-0.13142857142857142
66,XLNX,2016-10-26,0.4,2025.0,1205.0,-0.12154696132596683,-0.0614525139664805
67,XLK,2016-10-06,0.4,1132.0,762.0,-0.2233009708737864,0.10738255033557041
68,XLK,2016-10-07,0.5,1129.0,782.0,-0.1944444444444445,0.07801418439716319
69,XLK,2016-10-12,0.6,938.0,2278.0,-0.05806451612903231,-0.19298245614035078
70,XLI,2016-10-06,0.5,958.0,527.0,-0.4117647058823529,0.31125827814569534
71,XLI,2016-10-07,0.5,955.0,527.0,-0.3953488372093023,0.29729729729729726
72,XLI,2016-10-10,0.4,966.0,527.0,-0.2890625,0.07486631016042763
73,XLI,2016-10-11,0.6,786.0,1774.0,-0.18681318681318684,0.043795620437956075
74,XLI,2016-10-12,0.5,845.0,1770.0,0.019354838709677438,-0.21604938271604943
75,XLI,2016-10-25,0.5,935.0,1828.0,-0.12598425196850388,0.2388059701492536
76,XLI,2016-10-26,0.5,943.0,1829.0,-0.026315789473684043,0.1884057971014493
77,XLF,2016-10-07,0.9,61.0,92.0,-0.9181818181818181,0.0
78,XLF,2016-10-25,0.7,51.0,3683.0,-0.24999999999999992,-0.9880000000000001
79,XLF,2016-10-26,0.9,51.0,3683.0,-0.38235294117647056,-0.8775510204081632
80,XLE,2016-10-06,0.5,3369.0,11611.0,-0.20817843866171007,0.04377104377104373
81,XLE,2016-10-07,0.5,5189.0,11614.0,-0.27819548872180455,0.1469534050179212
82,XLE,2016-10-11,0.5,5079.0,11625.0,-0.4048442906574395,0.350210970464135
83,XLE,2016-10-20,0.6,22.0,16.0,-0.38260869565217387,0.09868421052631574
84,XLE,2016-10-21,0.6,33.0,16.0,-0.37155963302752293,0.18666666666666668
85,XLE,2016-10-24,0.5,33.0,16.0,-0.4831460674157303,0.42038216560509545
86,XLB,2016-10-06,0.5,239.0,3641.0,-0.4424242424242424,0.34507042253521125
87,XLB,2016-10-07,0.6,255.0,3641.0,-0.4894736842105263,0.459016393442623
88,XLB,2016-10-10,0.5,263.0,3641.0,-0.35416666666666663,0.07317073170731714
89,XLB,2016-10-25,0.6,464.0,3648.0,-0.2622950819672131,0.2890624999999999
90,XLB,2016-10-26,0.5,464.0,3648.0,-0.16000000000000003,0.17482517482517484
91,XL,2016-10-12,0.5,44.0,169.0,-0.10317460317460327,-0.3303571428571429
92,XL,2016-10-25,0.4,75.0,184.0,0.07228915662650609,-0.5909090909090909
93,XL,2016-10-26,0.4,75.0,184.0,-0.021276595744680753,-0.5869565217391305
94,XBI,2016-10-06,0.6,4066.0,563.0,-0.5387755102040818,0.7878787878787881
95,XBI,2016-10-07,0.5,186.0,104.0,-0.5545454545454546,0.6578947368421053
96,XBI,2016-10-12,0.5,505.0,182.0,-0.5586206896551724,0.48101265822784794
97,XBI,2016-10-25,0.5,114.0,352.0,-0.35833333333333334,0.3714285714285714
98,XBI,2016-10-26,0.5,115.0,356.0,-0.4119402985074627,0.4166666666666665
99,X,2016-10-24,0.6,82.0,116.0,-0.38461538461538464,-0.06285714285714292
100,X,2016-10-25,0.3,2186.0,187.0,-0.4,0.13553113553113558
101,X,2016-10-26,0.4,2680.0,566.0,-0.55625,0.30733944954128434
102,WYNN,2016-10-11,0.4,3578.0,1011.0,-0.5079365079365079,0.3125
103,WYNN,2016-10-25,0.6,1074.0,750.0,0.07518796992481203,-0.13333333333333336
104,WU,2016-10-06,0.6,460.0,3575.0,-0.3684210526315789,-0.07692307692307698
105,WU,2016-10-07,0.6,460.0,3575.0,-0.38095238095238093,-0.16666666666666663
106,WU,2016-10-11,0.6,462.0,3575.0,-0.5,0.08333333333333341
107,WU,2016-10-25,0.6,508.0,4016.0,-0.5,0.3999999999999999
108,WU,2016-10-26,0.6,508.0,4032.0,-0.625,-0.30000000000000004
109,WSM,2016-10-10,0.4,1772.0,506.0,-0.6511627906976744,0.3333333333333333
110,WPX,2016-10-26,0.7,108.0,2298.0,-0.9444444444444444,0.08333333333333341
111,WPRT,2016-10-06,0.3,29.0,7.0,-0.7500000000000001,-0.4545454545454546
112,WPRT,2016-10-07,0.2,32.0,7.0,-0.6666666666666666,-0.3636363636363637
113,WNR,2016-10-14,0.5,169.0,331.0,1.2424242424242427,-0.7999999999999999
114,WNR,2016-10-17,0.5,241.0,356.0,0.9393939393939396,-0.7575757575757576
115,WNR,2016-10-18,0.4,930.0,255.0,1.0869565217391306,-0.6976744186046512
116,WNR,2016-10-21,0.6,976.0,490.0,-0.17500000000000004,-0.27999999999999997
117,WNR,2016-10-26,0.4,807.0,201.0,-0.7631578947368421,0.7209302325581397
118,WMT,2016-10-14,0.5,13.0,91.0,-0.03883495145631071,-0.21590909090909097
119,WMT,2016-10-17,0.6,13.0,96.0,0.06603773584905645,-0.3584905660377359
120,WMT,2016-10-18,0.5,13.0,96.0,0.19696969696969704,-0.4251497005988024
121,WMT,2016-10-20,0.5,257.0,82.0,0.13793103448275862,-0.36158192090395486
122,WMT,2016-10-21,0.6,13.0,103.0,0.2678571428571427,-0.4788732394366197
123,WMT,2016-10-24,0.4,258.0,89.0,0.5,-0.47474747474747475
124,WMT,2016-10-26,0.6,15.0,50.0,0.06153846153846148,0.08053691275167793
125,WMB,2016-10-25,0.5,37.0,9.0,-0.6485148514851485,0.050458715596330216
126,WLL,2016-10-06,0.5,6591.0,2095.0,-0.11999999999999993,-0.14814814814814828
127,WLL,2016-10-07,0.5,6839.0,2150.0,-0.3448275862068966,-0.1111111111111112
128,WLL,2016-10-10,0.3,4177.0,686.0,-0.47368421052631576,0.07894736842105259
129,WLL,2016-10-11,0.6,6828.0,2170.0,-0.5161290322580645,0.16666666666666663
130,WLL,2016-10-12,0.5,6816.0,2270.0,-0.3571428571428571,-0.040000000000000036
131,WLL,2016-10-21,0.5,108.0,42.0,-0.37500000000000006,-0.4090909090909091
132,WFC,2016-10-07,0.5,5594.0,3120.0,-0.24117647058823524,0.0
133,WFC,2016-10-10,0.4,3749.0,1948.0,-0.45669291338582685,0.15137614678899064
134,WFC,2016-10-12,0.4,3590.0,1988.0,-0.3,-0.12093023255813955
135,WFC,2016-10-20,0.5,132.0,69.0,0.5504587155963301,-0.5945945945945946
136,WFC,2016-10-21,0.4,128.0,97.0,0.7159090909090909,-0.5241935483870968
137,WFC,2016-10-25,0.3,23400.0,2310.0,0.21111111111111117,-0.1257142857142857
138,WFC,2016-10-26,0.4,23363.0,2336.0,0.07526881720430102,0.03846153846153849
139,WDC,2016-10-14,0.5,31.0,20.0,-0.4603174603174603,0.09090909090909093
140,WDC,2016-10-25,0.5,19.0,7.0,0.6000000000000001,-0.5545454545454546
141,WDC,2016-10-26,0.5,19.0,7.0,0.2499999999999999,-0.38750000000000007
142,WBA,2016-10-06,0.5,244.0,952.0,-0.34647887323943666,0.25757575757575774
143,WAC,2016-10-24,0.7,26.0,15.0,-0.7368421052631579,-0.75
144,W,2016-10-26,0.5,152.0,492.0,-0.6428571428571429,0.3235294117647059
145,VZ,2016-10-14,0.6,36.0,101.0,-0.8028169014084506,0.8518518518518517
146,VZ,2016-10-18,0.6,40.0,168.0,-0.9078014184397162,1.2210526315789474
147,VZ,2016-10-24,0.3,71.0,347.0,-0.34920634920634924,-0.08633093525179848
148,VXX,2016-10-07,0.3,620.0,72.0,-0.9929411764705882,-0.030181086519114688
149,VXX,2016-10-11,0.2,159.0,72.0,-0.75,-0.03187250996015939
150,VXX,2016-10-25,0.1,919.0,91.0,-0.9965277777777779,-0.06991525423728823
151,VXX,2016-10-26,0.1,994.0,117.0,-0.8571428571428571,-0.05532786885245893
152,VWO,2016-10-07,0.5,390.0,396.0,-0.41379310344827586,0.0
153,VWO,2016-10-10,0.5,390.0,396.0,-0.46428571428571425,-0.06250000000000006
154,VWO,2016-10-25,0.5,403.0,400.0,-0.4230769230769231,0.1304347826086958
155,VWO,2016-10-26,0.5,403.0,402.0,-0.5769230769230769,0.409090909090909
156,VTI,2016-10-06,0.5,200.0,7.0,-0.46551724137931033,-0.11290322580645164
157,VTI,2016-10-07,0.5,200.0,7.0,-0.5084745762711865,-0.29032258064516125
158,VTI,2016-10-10,0.5,200.0,7.0,-0.46428571428571425,0.0
159,VTI,2016-10-11,0.5,200.0,7.0,-0.59375,-0.19354838709677422
160,VTI,2016-10-24,0.4,18.0,222.0,-0.41935483870967744,-0.12195121951219502
161,VTI,2016-10-25,0.6,503.0,22.0,-0.5789473684210527,0.2499999999999999
162,VTI,2016-10-26,0.6,531.0,21.0,-0.6029411764705882,-0.4444444444444444
163,VRX,2016-10-20,0.5,75.0,52.0,-0.12083333333333335,-0.17748917748917756
164,VRX,2016-10-21,0.5,95.0,52.0,-0.28571428571428575,0.40624999999999983
165,VRX,2016-10-26,0.5,266.0,65.0,-0.05752212389380527,0.1772727272727271
166,VRSN,2016-10-26,0.5,819.0,987.0,0.08823529411764713,-0.37837837837837845
167,VRSK,2016-10-07,0.5,73.0,670.0,-0.24193548387096772,-0.14705882352941177
168,VOD,2016-10-21,0.4,134.0,10.0,-0.12162162162162159,-0.2583333333333333
169,VNQ,2016-10-06,0.6,65.0,82.0,0.0,-0.32653061224489804
170,VNQ,2016-10-07,0.4,54.0,1917.0,-0.03703703703703707,-0.33333333333333326
171,VNQ,2016-10-10,0.5,17.0,51.0,0.06451612903225798,-0.3508771929824561
172,VNQ,2016-10-11,0.6,17.0,51.0,0.090909090909091,-0.3846153846153846
173,VNQ,2016-10-12,0.5,17.0,89.0,0.1724137931034483,-0.4576271186440678
174,VNQ,2016-10-25,0.6,66.0,1917.0,-0.6842105263157895,0.7209302325581397
